metadata/name,metadata/manufacturer,metadata/part_numbers/0,metadata/part_numbers/1,metadata/series,metadata/variant,capacity,form_factor,interface,nvme,storage_type,type,cache,metadata/releaseYear,metadata/part_numbers/2,metadata/part_numbers/3,metadata/part_numbers/4,metadata/part_numbers/5
"Western Digital Red Plus 3TB HDD 5400RPM 3.5"" SATA 6.0 Gb/s Internal",Western Digital,WD30EFZX,,Red,3000GB,3000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"G.Skill Phoenix III 120GB SSD 2.5"" SATA",G.Skill,FM-25S3-120GBP3,,Phoenix,120GB,120,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Samsung 850 Evo 1TB SSD 2.5"" SATA 6.0 Gb/s",Samsung,MZ-75E1T0B,AM                                                    MZ-75E1T0B,850,1000GB,1000,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,EU                                                    MZ-75E1T0BW,FBA_MZ-75E1T0B/EU,,
Western Digital WD_BLACK SN8100 w/Heatsink 4TB SSD M.2-2280 PCIe 5.0 x4 NVMe,Western Digital,WDS400T1XHM                                                    WDS400T1XHM-00CMT0,,WD_BLACK,4000GB,4000,M.2-2280,M.2 PCIe 5.0 x4,TRUE,SSD,SSD,4096,,,,,
PNY CS1030 2TB SSD M.2 NVMe PCIe 3.0 X4,PNY,M280CS1030-2TB-RB,,CS1030,2000GB,2000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Seagate IronWolf 12TB HDD 3.5"" SATA 6.0 Gb/s",Seagate,ST12000VN0007,,IronWolf,12000GB,12000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
Samsung 860 Evo 500GB SSD M.2-2280 SATA,Samsung,MZ-N6E500BW,,860,500GB,500,M.2-2280,M.2 SATA,FALSE,SSD,SSD,,,,,,
Crucial P3 500GB SSD M.2-2280 PCIe 3.0 x4 NVMe,Crucial,CT500P3SSD8,,P3,500GB,500,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
Acer Predator GM7000 4TB M.2 SSD PCIe 4.0 NVMe,Acer,BL.9BWWR.107                                                    GM7000-4TB,BL.9BWWR.107,Predator,4000GB,4000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"ADATA Premier SP610 128GB SSD 2.5"" SATA 6.0 Gb/s",ADATA,ASP610SS3-128GM-C,,Premier,128GB,128,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Seagate 600 120GB SSD 2.5"" SATA",Seagate,ST120HM000,,600,120GB,120,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Intel X25-V 40 GB SSD 2.5"" SATA",Intel,SSDSA2MP040G2K5,,X25-V,40GB,40,"2.5""",SATA 3.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Toshiba MG09 512e 18TB 3.5"" HDD 7200RPM SATA",Toshiba,MG09ACA18TE,10323384,MG09,18000GB,18000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Samsung Data Center 240 GB SSD 2.5"" SATA 6.0 Gb/s",Samsung,MZ7LM240HCGR-00003,,Data,240GB,240,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Kingston Fury Renegade with Heat Sink 1TB SSD M.2-2280 PCIe 4.0 x4 NVMe,Kingston,SFYRSK,1000G,Fury,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,SFYRSK/1000G,,,
"Western Digital Purple 3TB HDD 3.5"" SATA",Western Digital,WD30PURX,,Purple,3000GB,3000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Seagate Exos 7E8 512e 8TB Internal HDD 7200RPM 3.5"" SATA 6.0 Gb/s",Seagate,ST8000NM004A,,Exos,8000GB,8000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
Lexar NM1090 w/ Heatsink 2TB M.2 SSD PCIe 5.0 NVMe,Lexar,LNM1090002T-RNANU                                                    LNM1090002T-RNANG,LNM1090002T-RNANU,NM1090,2000GB,2000,M.2-2280,M.2 PCIe 5.0 x4,TRUE,SSD,SSD,,,,,,
"Intel DC S3700 400GB SSD 2.5"" SATA",Intel,SSDSC2BA400G301,,DC,400GB,400,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Hitachi Deskstar NAS 4TB HDD 7200RPM 3.5"" SATA",Hitachi,0S04005,,Deskstar,4000GB,4000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,128,,,,,
"Western Digital Ultrastar DC HC530 14TB Internal HDD 3.5"" 7200RPM SAS 12.0 Gb/s",Western Digital,0F31051,,Ultrastar,14000GB,14000,"3.5""",SAS 12.0 Gb/s,FALSE,HDD,HDD,,,,,,
Patriot P320 128GB M.2-2280 SSD PCIe 3.0 x4 NVMe,Patriot,P320P128GM28,,P320,128GB,128,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
KingSpec VP101 2TB M.2-2280 SSD PCIe 5.0 X4 NVMe,KingSpec,VP101-2000GB                                                    VP101-2000,,VP101,2000GB,2000,M.2-2280,M.2 PCIe 5.0 x4,TRUE,SSD,SSD,,,,,,
TEAMGROUP MP44 1TB SSD M.2 PCIe 4.0 NVMe,TEAMGROUP,TM8FPW001T0C101,,MP44,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
Mushkin Tempest 512GB M.2-2280 SSD PCIe 3.0 x4 NVMe,Mushkin,MKNSSDTS512GB-D8,,Tempest,512GB,512,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"TEAMGROUP QX 512GB SSD 2.5"" SATA 6.0 Gb/s",TEAMGROUP,T253X7512G0C101,,QX,512GB,512,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Inland Performance Plus 1TB SSD M.2 PCIe 4.0 NVMe,Inland,329474,Performance Plus,Performance,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
Plextor M8Pe 1TB SSD PCIe PCIe x4 NVMe,Plextor,PX-1TM8PeY,,M8Pe,1000GB,1000,PCIe,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Seagate IronWolf NAS 16TB HDD 3.5"" 7200RPM SATA",Seagate,ST16000VN001,,IronWolf,16000GB,16000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"ADATA SU635 480GB SSD 2.5"" SATA 6.0 Gb/s",ADATA,ASU635SS-480GQ-R,,SU635,480GB,480,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Toshiba X300 Pro 8TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",Toshiba,HDWR480XZSTB,,X300,8000GB,8000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Western Digital Red Plus 4TB 3.5"" HDD 5400RPM SATA 6.0 Gb/s Internal",Western Digital,WDBAVV0040HNC-WRSN,,Red,4000GB,4000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,64,,,,,
Corsair 2TB Force Series MP600 M.2 PCIe NVMe SSD,Corsair,CSSD-F500GBMP600,CSSD-F2000GBMP600R2,Force MP600,,2000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,2022,,,,
Seagate Beskar 500GB SSD M.2 PCIe 4.0 NVMe,Seagate,ZP500GM30033,,Beskar,500GB,500,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"Samsung PM871b 512GB SSD 2.5"" SATA 6.0 Gb/s",Samsung,MZ7LN512HAJQ,,PM871b,512GB,512,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Western Digital Caviar Blue 320GB 3.5"" HDD 7200RPM PATA 100 Internal",Western Digital,WD3200AAJB,WD3200AAJS,Caviar,320GB,320,"3.5""",PATA 100,FALSE,HDD,HDD,8,,,,,
"Inland Platinum 1.024 TB SSD 2.5"" SATA 6.0 Gb/s",Inland,6.18997E+11,c4d64392-163c-441c-9a01-88eec5568ef0,Platinum,1000GB,1000,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Samsung 840 Evo 250GB 2.5"" SSD SATA",Samsung,MZ-7TE250BW,,840,250GB,250,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Silicon Power A80 256GB M.2 SSD PCIe 3.0 NVMe,Silicon Power,SP256GBP34A80M28,,A80,256GB,256,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
XOC G300 512GB SSD M.2-2280 PCIe 3.0 X4 NVMe,XOC,XC512GG300,,G300,512GB,512,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Toshiba MG09 512e 14TB HDD 3.5"" 7200RPM SATA 6.0 Gb/s",Toshiba,MG09ACA14TE,,MG09,14000GB,14000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
Corsair MP700 PRO SE 4TB M.2-2280 SSD PCIe 5.0 X4 NVMe,Corsair,CSSD-F4000GBMP700PNHS,,MP700,4000GB,4000,M.2-2280,M.2 PCIe 5.0 x4,TRUE,SSD,SSD,,,,,,
Inland Prime 500GB SSD M.2-2280 PCIe 3.0 x4 NVMe,Inland,6.18997E+11,,Prime,500GB,500,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Toshiba P300 2TB HDD 3.5"" 5400RPM SATA 6.0 Gb/s Internal",Toshiba,HDWD320UZSVA,,P300,2000GB,2000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
Nextorage G-Series LE 2TB SSD M.2-2280 PCIe 4.0 X4 NVMe,Nextorage,NN4LE-2TB2CN,GNE SYM,G-Series,2000GB,2000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
Crucial T700 W/Heatsink 4TB M.2 SSD PCIe 5.0 NVMe,Crucial,CT4000T700SSD5,,T700,4000GB,4000,M.2-2280,M.2 PCIe 5.0 x4,TRUE,SSD,SSD,,,,,,
"Toshiba N300 6TB HDD 3.5"" 7200RPM SATA",Toshiba,HDWN160XZSTA,,N300,6000GB,6000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Western Digital WDBMMA0010HNC-NRSN 1TB 3.5"" HDD 5400RPM SATA",Western Digital,WDBMMA0010HNC-NRSN,FBA_WDBMMA0010HNC-NRSN,WDBMMA0010HNC-NRSN,1000GB,1000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Toshiba VX500 1TB 2.5"" SSD SATA",Toshiba,VX500-25SAT3-1T,,VX500,1000GB,1000,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Seagate BarraCuda 3TB 3.5"" HDD 7200RPM SATA",Seagate,ST3000DM008,,BarraCuda,3000GB,3000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"TEAMGROUP CX2 512GB 2.5"" SSD SATA 6.0 Gb/s",TEAMGROUP,T253X6512G0C101,,CX2,512GB,512,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Kingston FURY Renegade G5 2.048 TB M.2-2280 SSD PCIe 5.0 x4 NVMe,Kingston,SFYR2S,2T0,FURY,2000GB,2000,M.2-2280,M.2 PCIe 5.0 x4,TRUE,SSD,SSD,,,SFYR2S/2T0,,,
"Western Digital AV-GP 320 GB HDD 3.5"" 5400 RPM SATA 3.0 Gb/s",Western Digital,WD3200AVCS,,AV-GP,320GB,320,"3.5""",SATA 3.0 Gb/s,FALSE,HDD,HDD,16,,,,,
"Hitachi E5K500.B 160GB HDD 5400RPM 2.5"" SATA 3.0 Gb/s",Hitachi,0A70391,,E5K500.B,160GB,160,"2.5""",SATA 3.0 Gb/s,FALSE,HDD,HDD,,,,,,
ADATA SU800 128GB M.2-2280 SSD SATA,ADATA,ASU800NS38-128GT-C,,SU800,128GB,128,M.2-2280,M.2 SATA,FALSE,SSD,SSD,,,,,,
OCZ RD400A 256GB SSD PCIe NVMe,OCZ,RVD400-M22280-256G-A,,RD400A,256GB,256,PCIe,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
Crucial T705 W/Heatsink Limited Edition 2TB SSD M.2-2280 PCIe 5.0 X4 NVMe,Crucial,CT2000T705SSD5A,,T705,2000GB,2000,M.2-2280,M.2 PCIe 5.0 x4,TRUE,SSD,SSD,,,,,,
"Western Digital Green 4TB 3.5"" Internal HDD 5900RPM SATA 6.0 Gb/s",Western Digital,WD40EZRX,,Green,4000GB,4000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Crucial V4 32GB 2.5"" SSD SATA",Crucial,CT032V4SSD2,,V4,32GB,32,"2.5""",SATA 3.0 Gb/s,FALSE,SSD,SSD,,,,,,
Seagate FireCuda 540 2TB M.2 SSD PCIe 5.0 NVMe,Seagate,ZP2000GM3A004,,FireCuda,2000GB,2000,M.2-2280,M.2 PCIe 5.0 x4,TRUE,SSD,SSD,,,,,,
"KIOXIA EXCERIA 240 GB 2.5"" SSD SATA 6.0 Gb/s",KIOXIA,LTC10Z240GG8,,EXCERIA,240GB,240,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Samsung Spinpoint F1 DT 640GB Internal HDD 7200RPM 3.5"" SATA 3.0 Gb/s",Samsung,HD642JJ,8.80899E+12,Spinpoint,640GB,640,"3.5""",SATA 3.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Samsung 840 Evo 1TB 2.5"" SSD SATA",Samsung,MZ-7TE1T0BW,,840,1000GB,1000,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Hitachi Ultrastar DC HC530 14TB 3.5"" HDD SATA",Hitachi,0F31283,,Ultrastar,14000GB,14000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Western Digital Black2 1TB Hybrid 2.5"" 5400RPM SATA",Western Digital,WD1001X06XDTL,,Black2,1000GB,1000,"2.5""",SATA 6.0 Gb/s,FALSE,SSHD,SSHD,,,,,,
Lexar NM760 2TB M.2-2280 SSD PCIe 4.0 X4 NVMe,Lexar,LNM760X002T-RNNNG,,NM760,2000GB,2000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"Seagate FireCuda 2TB Hybrid 3.5"" 7200 RPM SATA",Seagate,ST2000DX002,ST2000DXB02,FireCuda,2000GB,2000,"3.5""",SATA 6.0 Gb/s,FALSE,SSHD,SSHD,,,,,,
"Inland Professional 256GB SSD 2.5"" SATA 6.0 Gb/s",Inland,6.18997E+11,,Professional,256GB,256,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Western Digital Red 8TB 3.5"" HDD 5400RPM SATA 6.0 Gb/s",Western Digital,WD80EFZX,,Red,8000GB,8000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"ADATA Premier Pro SP900 64GB SSD 2.5"" SATA",ADATA,ASP900S3-64GM-C,,Premier,64GB,64,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Western Digital Caviar Green 1.5TB 3.5"" HDD 5400RPM SATA",Western Digital,WD15EARX,,Caviar,1000GB,1000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
Patriot P300 2TB M.2-2280 SSD PCIe 3.0 x4 NVMe,Patriot,P300P2TBM28,,P300,2000GB,2000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
Sabrent Rocket Q4 4TB SSD M.2-2280 PCIe 4.0 X4 NVMe,Sabrent,SB-RKTQ4-4TB,,Rocket,4000GB,4000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
Klevv CRAS 1TB SSD M.2-2280 PCIe 3.0 NVMe,Klevv,K01TBM2SP0-C71,,CRAS,1000GB,1000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
HP FX900 Pro 1TB SSD M.2-2280 PCIe 4.0 X4 NVMe,HP,4A3U0AA#ABB,,FX900,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"Western Digital Green 120GB SSD 2.5"" SATA",Western Digital,WDS120G1G0A,,Green,120GB,120,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Western Digital Red Pro 12 TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",Western Digital,WD121KFBX,,Red,12000GB,12000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
Plextor M6e Black Edition 256GB SSD PCIe PCIe x4 NVMe,Plextor,PX-256M6e-BK,,M6e,256GB,256,PCIe,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
Gigabyte AORUS Gen4 7300 2TB M.2 SSD PCIe 4.0 NVMe,Gigabyte,AG4732TB,,AORUS,2000GB,2000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
Inland QN322 1TB M.2-2280 SSD PCIe 3.0 X4 NVMe,Inland,1TB QN322 NVME,QN322,QN322,1000GB,1000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,1TB QN322,,,
Samsung MZVPV512HDGL-00000 512GB SSD M.2-2280 NVMe,Samsung,MZVPV512HDGL-00000,,MZVPV512HDGL-00000,512GB,512,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Toshiba MG07ACA12TA 12TB HDD 3.5"" 7200 RPM SATA Internal",Toshiba,MG07ACA12TA,,MG07ACA12TA,12000GB,12000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
Nextorage G-Series 8TB SSD M.2-2280 PCIe 4.0 x4 NVMe,Nextorage,NE1N8TB,,G-Series,8000GB,8000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
Gigabyte AORUS Gen4 1TB M.2 SSD PCIe 4.0 NVMe,Gigabyte,GP-ASM2NE6100TTTD,,AORUS,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
PNY CS2241 4TB SSD M.2 PCIe 4.0 NVMe,PNY,M280CS2241-4TB-CL                                                    M280CS2241-4TB-RB,M280CS2241-4TB-RB,CS2241,4000GB,4000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"SanDisk Ultra 120GB SSD 2.5"" SATA",SanDisk,SDSSDH-120G-G25,,Ultra,120GB,120,"2.5""",SATA 3.0 Gb/s,FALSE,SSD,SSD,,,,,,
"ADATA SU630 960GB SSD 2.5"" SATA",ADATA,ASU630SS-960GQ-R,SU630,SU630,960GB,960,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Seagate ST500LM021 500GB 2.5"" HDD 7200RPM SATA Internal",Seagate,ST500LM021,,ST500LM021,500GB,500,"2.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
FanXiang S500 Pro 512GB M.2-2280 SSD PCIe 3.0 X4 NVMe,FanXiang,S500 Pro - 512GB - M.2 SSD,512 nvme ssd - S500 Pro,S500,512GB,512,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,S500 Pro - 512gb m.2 ssd,S500 Pro,,
Western Digital Black AN1500 2TB SSD PCIe NVMe,Western Digital,WDS200T1X0L-00AUJ0,,Black,2000GB,2000,PCIe,M.2 PCIe 3.0 x8,TRUE,SSD,SSD,,,,,,
GameStop 23VG-GSPL-GameStop 1TB SSD Heatsink M.2 PCIe 4.0 NVMe,GameStop,23VG-GSPL-GameStop NVMe SSD-Heatsink-1TB,,23VG-GSPL-GameStop,1000GB,1000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
Netac NV7000-t 2TB SSD M.2-2280 PCIe 4.0 x4 NVMe,Netac,NT01NV7000t-2T0-E4X,NV7000-t,NV7000-t,2000GB,2000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
Corsair MP600 PRO LPX 2TB SSD M.2-2280 PCIe 4.0 x4 NVMe,Corsair,CSSD-F2000GBMP600PLPW,,MP600,2000GB,2000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
TEAMGROUP T-Force Cardea II TUF Gaming Alliance 1TB SSD M.2 PCIe 3.0 NVMe,TEAMGROUP,TM8FPB001T0C310,,T-Force,1000GB,1000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"PNY CS1111 120GB 2.5"" SSD SATA",PNY,SSD7CS1111-120-RB,,CS1111,120GB,120,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
KIOXIA EXCERIA 500GB M.2-2280 SSD PCIe 3.0 x4 NVMe,KIOXIA,LRC10Z500GG8,,EXCERIA,500GB,500,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Kingston SSDNow KC400 256GB SSD 2.5"" SATA",Kingston,SKC400S37,256G,SSDNow,256GB,256,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,SKC400S37/256G,,,
"SanDisk SSD PLUS 960GB SSD 2.5"" SATA",SanDisk,SDSSDA-960G-G26,,SSD,960GB,960,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Seagate FireCuda 530R 4TB M.2-2280 SSD PCIe 4.0 x4 NVMe,Seagate,ZP4000GM3A063,7.63649E+11,FireCuda,4000GB,4000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"Kingston HyperX 3K 240GB SSD 2.5"" SATA 6.0 Gb/s",Kingston,SH103S3,240G,HyperX,240GB,240,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Western Digital Blue 1TB 2.5"" SSD SATA",Western Digital,WDS100T1B0A,,Blue,1000GB,1000,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
MSI SPATIUM M370 1TB SSD M.2-2280 PCIe 3.0 X4 NVMe,MSI,SM370N1TB,S78-440L570-P83,SPATIUM,1000GB,1000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Hitachi 7K1000.C 1TB 3.5"" HDD 7200RPM SATA",Hitachi,0F10383,,7K1000.C,1000GB,1000,"3.5""",SATA 3.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Kingston SSDNow KC300 180GB SSD 2.5"" SATA",Kingston,SKC300S37A,180G,SSDNow,180GB,180,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,SKC300S37A/180G,,,
"TEAMGROUP L3 EVO 240GB SSD 2.5"" SATA",TEAMGROUP,T253LE240GTC101,,L3,240GB,240,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Western Digital Black SN850X 8TB M.2 SSD PCIe 4.0 NVMe,Western Digital,WDS800T2X0E                                                    WDS800T2X0E-00CDD0                                                    WDBB9G0080BNC-WRSN,WDS800T2X0E,WD_Black,8000GB,8000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,WDS800T2X0E-00CDD0,,,
"Toshiba MG07ACA14TE 14TB HDD 3.5"" 7200RPM SATA",Toshiba,MG07ACA14TE,201746,MG07ACA14TE,14000GB,14000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
Inland TN450 2TB SSD M.2-2280 PCIe 4.0 x4 NVMe,Inland,2TB TN450,548263,TN450,2000GB,2000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
Lexar NM610PRO 1TB M.2-2280 SSD PCIe 3.0 x4 NVMe,Lexar,LNM610P001T-RNNNG,LNM610-1TRBNA,NM610PRO,1000GB,1000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Integral V Series Plus 1TB SSD 2.5"" SATA",Integral,INSSD1TS625V2P,,V,1000GB,1000,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
Western Digital WD_BLACK SN7100 2TB SSD M.2-2280 PCIe 4.0 x4 NVMe,Western Digital,WDS200T4X0E-00CJA0                                                    WDS200T4X0E,WDS200T4X0E-00CJA0,WD_BLACK,2000GB,2000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,WDS200T4X0E,,,
Seagate IronWolf 12TB NAS Internal Hard Drive HDD ・・ CMR 3.5 Inch SATA 6Gb/s 7200 RPM 256MB Cache for RAID Network Attached Storage,Seagate,ST12000VNZ007,ST12000VN0008,IronWolf,,12000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,2020,,,,
"Seagate Exos X18 10TB HDD 7200RPM 3.5"" SATA",Seagate,ST10000NM020G,,Exos,10000GB,10000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"OCZ Agility 3 512GB 2.5"" SSD SATA 6.0 Gb/s",OCZ,AGT3-25SAT3-512G,,Agility,512GB,512,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
"Western Digital Caviar Black 4TB Internal HDD 7200RPM 3.5"" SATA 6.0 Gb/s",Western Digital,WD4004FZWX,,Caviar,4000GB,4000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Crucial M4 512GB SSD 2.5"" SATA 6.0 Gb/s",Crucial,CT512M4SSD1,,M4,512GB,512,"2.5""",SATA 6.0 Gb/s,FALSE,SSD,SSD,,,,,,
GOODRAM IRDM PRO GEN 5 4TB SSD M.2-2280 PCIe 5.0 x4 NVMe,GOODRAM,IRP-SSDPR-P54S-4K0-80,,IRDM,4000GB,4000,M.2-2280,M.2 PCIe 5.0 x4,TRUE,SSD,SSD,,,,,,
TEAMGROUP Cardea II 1TB SSD M.2-2280 PCIe 3.0 X4 NVMe,TEAMGROUP,TM8FP5001T0C110,,Cardea,1000GB,1000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
"Seagate IronWolf Pro 12TB HDD 3.5"" SATA",Seagate,ST12000NE0007,,IronWolf,12000GB,12000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Seagate BarraCuda 2TB 3.5"" HDD 7200RPM SATA 3.0 Gb/s",Seagate,STBD2000101,,BarraCuda,2000GB,2000,"3.5""",SATA 3.0 Gb/s,FALSE,HDD,HDD,,,,,,
"Seagate Barracuda Green 2TB 3.5"" HDD 5900RPM SATA",Seagate,ST2000DL003,,Barracuda,2000GB,2000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
TEAMGROUP T-Force Cardea Zero Z330 2TB SSD M.2-2280 PCIe 3.0 x4 NVMe,TEAMGROUP,TM8FP8002T0C311,TM8FP8001T0C311,T-Force,2000GB,2000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,0765441050112,,,
Addlink S95 4TB SSD M.2-2280 PCIe 4.0 NVMe,Addlink,ad4TBS95M2P,,S95,4000GB,4000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
Crucial P2 1TB SSD M.2-2280 PCIe 3.0 X4 NVMe,Crucial,CT1000P2SSD8,,P2,1000GB,1000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
