metadata/name,metadata/manufacturer,metadata/part_numbers/0,metadata/part_numbers/1,metadata/part_numbers/2,metadata/part_numbers/3,metadata/part_numbers/4,general_product_information/hyte_sku,metadata/part_numbers/5,metadata/part_numbers/6,metadata/part_numbers/7,metadata/part_numbers/8,metadata/series,metadata/variant,metadata/releaseYear,metadata/last_manually_spec_verified_at,connection_types/0,connection_types/1,ear_pad_material/0,features/0,platforms/0,platforms/1,platforms/2,use_cases/0,use_cases/1,driver_size,frequency_response_low,frequency_response_high,headphone_type,ear_cup_type,weight,has_microphone,microphone_type,frame_material
Razer Kraken Pro 2015 Wired Closed-Back Gaming Headset,Razer,RZ04-01380300-R3M1,RZ04-01380200-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooler Master Ceres 400 Wired Closed-Back Gaming Headset,YunYiYi,SGH-2010-KKTA1,luo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiFiMAN HE560 Headphones,HIFIMAN,HE560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooler Master MH752 7.1 Channel Closed-Back Gaming Headset,Cooler Master,MH-752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs SXFI Gamer Closed-Back Gaming Headset,Creative Labs,51EF0880AA000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs Aurvana Live! 2 Closed-Back Headphones,Creative Labs,51EF0660AA005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RPHJX5-R Closed In-Ear Headphones,Panasonic,RPHJX5-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiFiMAN Arya Open-Back Wired Headphones Black,HIFIMAN,Arya,Arya Stealth Magnet Version,HE-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermaltake HT-DRS007OEWH Closed-Back Headphones,Tt eSPORTS,HT-DRS007OEWH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech ASTRO A50 X Closed Gaming Headset,Logitech G,939-002126                                                    939-002128,939-002126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX Cloud Core Wired Gaming Headset,HyperX,4P5D5AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba CL-AUD23029 ,Syba,CL-AUD23029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klipsch Image S4i Closed-Back Wired In-Ear Headphones,Klipsch,IMAGE S4i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis Nova Pro Closed Black Headset,SteelSeries,61527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantronics RIG 500E 7.1 Channel Closed Gaming Headset,Plantronics,RIG 500E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus ROG CENTURION Headset,ASUS,ROG Centurion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington k33323ww Closed-Back Headphones,Kensington,k33323ww,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anker Soundcore Life Q30 Closed-Back Headphones (Pink),Soundcore,A3028051,A3028,AK-194644064815-cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Cloud II 7.1 Channel Closed-Back Headphones,HP,HG-HS2RD-1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS65 SURROUND 7.1 Channel Wired Gaming Headset,Corsair,CA-9011271-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser 502029 Open-Back Headphones,Sennheiser,502029,FBA_DW PRO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S2FFFM-075 In-Ear Closed Headphones With Microphone,Skullcandy,S2FFFM-075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDRJ10/LTPNK In-Ear Headphones,Sony,MDRJ10,LTPNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shure SRH440 Closed Black Headphones,Shure,SRH440,SRH440-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser CX 1.00 Black Closed Earbud,Sennheiser,CX 1.00 Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCCAT Kave XTD Stereo Closed Headphones,ROCCAT,ROC-14-610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 660 S Headphones,Sennheiser,HD 660 S,B508826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyerdynamic DT 880 Pro Semi-open Wired Headphones,beyerdynamic,490970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHE3590GY/10 In Ear With Microphone Headphones,Philips,SHE3590GY,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis 3 7.1 Channel Gaming Headset,SteelSeries,61434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-XD100 Closed-Back Headphones,Sony,MDR-XD100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S2HMCY-016-1 Closed In-Ear Headphones With Microphone,Skullcandy,S2HMCY-016-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CK323IBK In-Ear Headset With Microphone,Audio-Technica,ATH-CK323IBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focal Clear Open-Back Headphones,Focal,Clear,CLEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CK313MBL In-Ear With Microphone Headphones,Audio-Technica,ATH-CK313MBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba OG-AUD63065 5.1 Channel Headphones,Syba,OG-AUD63065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CKL202iSRD Closed In-Ear Headphones With Microphone,Audio-Technica,ATH-CKL202iSRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair VOID PRO RGB 7.1 Channel Wired Gaming Headset (White/Black),Corsair,CA-9011155-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser SC 260 USB CTRL II Closed-Back Wired Headphones,Sennheiser,506481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kaira Pro Wireless Gaming Headset for Xbox,Razer,RZ04-03470300-R3M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHL5305TL/28 Closed-Back Headphones,Philips,SHL5305TL,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-T400 Closed Headphones,Audio-Technica,ATH-T400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astro Gaming A50 + Base Station Closed Wireless Gaming Headset,ASTRO Gaming,939-001517,939-001539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs Aurvana Live! Closed Headphones,Creative Labs,51EF0060AA002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Barracuda X 7.1 Channel Closed Gaming Headset,Razer,RZ04-04430100-R3U1,RZ04-04430100-R3M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss CZ-176801 Closed White Earbud,Koss,CZ-176801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Acoustics AC-740 Closed Earbud With Microphone Headset,Cyber Acoustics,AC740NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss CZ-168486 Closed In-Ear Headphones,Koss,CZ-168486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD25ALUM Closed Headphones,Sennheiser,HD25ALUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4Tech MK-630P Closed Wired In-Ear Headphones Pink/White,A4Tech,MK-630P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica SonicFuel CLR100iS Closed-Back In-Ear With Microphone Headset,Audio-Technica,ATH-CLR100ISLG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-M50 Closed-Back Headphones,Audio-Technica,ATHM50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CKS99 Closed In-Ear With Microphone Headphones,Audio-Technica,ATH-CKS99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDREX10LP/WHI White Closed In-Ear Headphones,Sony,MDREX10LP,WHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony CZ-MDRAS200O Closed-Back Earbuds,Sony,CZ-MDRAS200O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 490 PRO Open-Back Headphones,Sennheiser,700286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX Cloud Revolver Closed-Back Gaming Headset,HP,HX-HSCR-BK,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HJE290-K Closed-Back Headphones,Panasonic,RP-HJE290-K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 450BT Wireless Closed-Back Black Headphones,Sennheiser,HD 450BT Black,HD 450BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDRXB200/V Closed-Back Headphones,Sony,MDRXB200,V,MDR-XB200V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer SE MJ721I Closed-Back Wired Headphones Brown,PIONEER,SE-MJ721I-T,SEMJ721T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBL Quantum 600 Headset,JBL,JBLQUANTUM600BLKAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bang & Olufsen Beoplay H100 Closed-Back Headphones in Black / Silver,Bang & Olufsen,1224400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adesso Xtream H4 Closed Headphones,ADESSO,XTREAMH4,Xtream H4,XTREAM_H4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis 3 7.1 Channel Gaming Headset,SteelSeries,61433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKG K619BLK Closed-Back Headphones,AKG,K619BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS60 Surround 7.1 Channel (Black) Gaming Headset,Corsair,CA-9011173-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss Porta Pro Mic/Remote Open Headphones,Koss,00159243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba CL-AUD23031 Closed-Back White / Pink Headphones,Syba,CL-AUD23031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKG K328SBR Earbud With Microphone Headphones,AKG,K328SBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Siberia V2 Closed Wired Gaming Headset,SteelSeries,51101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech Pro X 7.1 Channel Gaming Headset,Logitech G,981-000817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser PXC 310 Closed Headphones,Sennheiser,PXC 310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final E1000 Closed Wired Earbud Black,final,FI-E1DPLBL,E1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser GSP 500 Semi-open Gaming Headset,Sennheiser,GSP 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDRZX300IPW Closed Headphones,Sony,MDRZX300IW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiFiMAN HE1000 V2 Wired Headphones Open-Back,HiFiMAN,HE1000 V2                                                    B01I50644C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPOS H6PRO Open-Back Headphones,EPOS,1000934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser SC 70 USB CTRL Wired Headset,Sennheiser,506504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Barracuda Pro 7.1 Channel Closed Headset,Razer,RZ04-03780100-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs Tactic3D Rage V2.0 Closed Gaming Headset,Creative Labs,70GH023000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Opus Closed-Back Headphones,Razer,RZ04-02490101-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HJC120-W Closed Earbud Headphones,Panasonic,RP-HJC120-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser OCX685IW Closed In-Ear Headphones,Sennheiser,OCX685IW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genius 31710188101 Closed Headphones,Genius,31710188101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S2IKDZ-058 In-Ear Closed-Back Headphones With Microphone,Skullcandy,S2IKDZ-058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS60 PRO Surround 7.1 Closed Gaming Headset,Corsair,CA-9011214-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKG K619 Red Closed-Back Headphones,AKG,K619RED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Acoustics AC-201 Closed-Back Wired Headphones,Cyber Acoustics,AC-201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss CZ-178295 Closed-Back Wired Headphones Black/Silver,Koss,CZ-178295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis 7X ,SteelSeries,61466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CKM500ISW Wired with Microphone In-Ear Headphones White,Audio-Technica,ATH-CKM500ISWH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Piano Forte X Gold Closed In-Ear Headphones,Final,FI-PF10DCG3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser PMX685I Wired In-Ear Headphones,Sennheiser,PMX685I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Adagio III Closed In-Ear Headphones,Final,FI-AD3DRW3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denon AH-D7100 Closed Headphones,Denon,AH-D7100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-RE70BK Semi-open Headphones,Audio-Technica,ATH-RE70BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1MORE EHD9001TA In Ear,Logitech G,981-000906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigabyte GP FLY Gaming Headset,Gigabyte,GP-FLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astro A50 PS4 4th Gen + Base Station 7.1 Channel Wireless Gaming Headset,Astro,939-001676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech G935 7.1 Channel Headset,,981-000742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries 3H VR Closed VR Headset,SteelSeries,61012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAKSTAR Forge Wired Closed-Back Headphones Black / Red,Takstar,FORGE,KJYPEJ000738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser PXC250 II Closed Headphones,Sennheiser,PXC250 II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiFiMAN Ananda Wireless Open-Back Headphones,HiFiMAN,ANANDA-BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple AirPods Pro 2nd Gen MagSafe In-Ear Headphones with Microphone,Apple,MQD83AM,A,MQD83AM/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denon AH-NCW500SR Closed Headphones,Denon,AH-NCW500SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-SR30BTGY Wireless Closed Headphones,Audio-Technica,ATH-SR30BTGY,ATH-SR30BTBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDRAS200W White Earbuds Headphones,Sony,MDRAS200W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs Aurvana Live! SE Closed-Back Wired Headphones,CREATIVE,ZH0010                                                    70ZH001000000,ZH0010,70ZH001000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy Riff Wireless Headphones Closed-Back Camo,Skullcandy,S6HSGY-367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JVC HARX700 Wired Headphones Closed-Back,JVC,HARX700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astro 3AS50-EAW9F-319 Closed Black / Orange Gaming Headset,Astro,3AS50-EAW9F-319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HSC200-W Closed Earbud With Microphone,Panasonic,RP-HSC200-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astro A40 7.1 Channel Closed-Back Gaming Headset,Astro,3AS42-PSU9N-381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS70 Bluetooth Closed-Back Gaming Headset,Corsair,CA-9011227-NA                                                    CA-9011227-EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba OG-AUD23047 Closed Black/Red Headphones,Syba,OG-AUD23047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX Cloud Stinger ,HP,HX-HSCS-BK,NA                                                    HX-HSCS-BK,EM                                                    HX-HSCS-BK,EE                                                    HX-HSCS-BK,LA                                                    HX-HSCS-BK,,AS                                                    4P5L7AA#ABL                                                    4P5L7AB,,,,,,,,,,,,,,,,,,,,,,,,,
Denon AH-C300 In-Ear Closed-Back Headphones with Microphone,Denon,8.83795E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S2FFFA-075 Black / White Closed-Back In-Ear Headset,Skullcandy,S2FFFA-075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus ROG Strix Fusion Wireless Closed Gaming Headset,Asus,ROG Strix Fusion Wireless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-MA300 Open-Back Headphones,Sony,MDR-MA300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Siberia 350 (Black/Orange) Closed 7.1 Channel Gaming Headset,SteelSeries,51202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech ASTRO A10 Closed-Back Wired Gaming Headset,Logitech,939-002069                                                    939-002071,939-002069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy Hesh 2 Unleashed Headset,Skullcandy,S6HBGY-374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss Cs100 Closed Headphones,Koss,IVG-KSSCS100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair VOID Closed-Back Wired Gaming Headset,Corsair,CA-9011131-NA                                                    CA-9011131-EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 600 Open-Back Headphones,Sennheiser,HD600                                                    004465                                                    508824,4465,HD 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superlux HD681 Headphones,Superlux,HD000681,HD681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus STRIX PRO Closed Gaming Headset,Asus,Strix Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-E70 Closed In-Ear Headphones,Audio-Technica,ATH-E70,AUD ATHE70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech Ultimate Ears 500vm Closed In-Ear Earbud Headset With Microphone,Logitech,985-000364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RH1C Open-Back Headphones,YAMAHA,RH1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony h.ear on 2 Wireless Noise Cancelling Closed-Back Gray Headphones,Sony,WHH900N,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair Gaming H2100 7.1 Channel Closed-Back Gaming Headset,Corsair,CA-9011136-NA                                                    CA-9011136-EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser MOMENTUM 4 Closed Headphones,Sennheiser,700382                                                    M4AEBT SE,700382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony MDRZX100RD Closed-Back Headphones, Black / Red",Sony,MDRZX100RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kaira for Xbox Gaming Headset,Razer,RZ04-03480100-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADATA EMIX I30 In-Ear 5.1 Channel Headset,XPG,EMIX I30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HX40-PW Closed-Back Headphones,Panasonic,RP-HX40-PW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biostar iDEQ N20 Wired Closed Headphones Blue/Black,Biostar,iDEQ N20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKG K328SBP Closed Earbud Headphones With Microphone,AKG,K328SBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Acoustics AC-400MV Closed Headphones,Cyber Acoustics,AC-400MV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CKF300PL Wired In-Ear Headphones,Audio-Technica,042005169832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony Extra Bass MDRXB550AP Closed Headphones Blue,Sony,MDRXB550AP,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-ED12LP Closed-Back In-Ear Headphones,Sony,MDRED12LP,BLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiFiMAN TWS600 True Wireless Closed-Back In-Ear Headphones,HiFiMAN,TWS600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-G1WL 7.1 Channel Headset,audio-technica,ATH-G1WL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser OMX 680i Closed Earbud Headphones,Sennheiser,OMX 680i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba CM-502 Wired Closed-Back Headphones,SYBA,CL-CM-502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPOS H6PRO Wired Gaming Headset Closed-Back White/Silver,EPOS,1000969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser IE60 In-Ear Closed Headphones,Sennheiser,IE60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosewill E-860 Wired Closed Earbuds,Rosewill,E-860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Buds2 Closed-Back In-Ear With Microphone Headphones,Samsung,SM-R177NZWAXAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S2FFFM-059 Closed In-Ear Headphones with Microphone,Skullcandy,S2FFFM-059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-COR150OR Closed In-Ear Headphones,Audio-Technica,ATH-COR150OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCTIC P301 Wired Closed-Back Headphones,ARCTIC,AC-P301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S2IKDY-010 In-Ear Closed-Back Wired Headphones,Skullcandy,S2IKDY-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-M50x Headphones,Audio-Technica,ATH-M50x,AUD ATHM50X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHP 9600MB Open-Back Wired Headphones,Philips,SHP9600MB,00                                                    SHP9600MB,SHP9600/MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harman Kardon J88 White Closed-Back Headphones,Harman Kardon,J88WHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-AS200 BLU Closed Headphones,Sony,MDR-AS200 BLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech G733 Closed Gaming Headset,Logitech G,981-000882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coby CV135 Closed-Back Headphones,Coby,CV135BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony INZONE H9 Wireless Gaming Headset,Sony,WHG900N,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avid Technology DX-992 In-Ear Headphones,Avid Technology,DX-992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss CS95 Closed-Back Headphones,Koss,142869,154758,CS95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Adagio V Closed Earbuds,Final,FI-AD5DSS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 239 Closed Headphones,Sennheiser,HD 239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HS220-S Earbuds,Panasonic,RP-HS220-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony CZ-MDRV55/BR Closed Black/Red Headphones,Sony,CZ-MDRV55,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CKP500BL Closed-Back Wired In-Ear Headphones,Audio-Technica,ATH-CKP500BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy PLYR 2 Closed-Back Headphones,Skullcandy,SMPLFY-207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy Hesh 3 Headset,Skullcandy,Hesh 3 BT,S6HTW-L678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Predator Open-Back Gaming Headset,Acer,NP.HDS1A.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAKSTAR Sprint Closed-Back Wired In-Ear Headset with Microphone,Takstar,SPRINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HJE190 In-Ear Headphones Closed-Back White,Panasonic,RP-HJE190-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DROP MASSDROP X AKG K7XX Open-Back Headphones,DROP,K7XX,MDX-804-LMTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-M10 Closed-Back Black Headphones,Audio-Technica,ATH-M10,ATHM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair VOID 7.1 Channel Gaming Headset,Corsair,CA-9011144-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 599 SE Open-Back Wired Headphones,Sennheiser,508697                                                    HD 599 SE,508697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDREX 40LP/PNK Closed-Back Wired Headphones,Sony,7.77786E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adesso Xtream H2B Closed Headphones,Adesso,Xtream H2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HC56-K Closed Earbud Headphones,Panasonic,RP-HC56-K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis 7 Closed Wireless Gaming Headset,SteelSeries,61463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-SR50BTBK Closed-Back Headphones,Audio-Technica,ATH-SR50BTBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyerdynamic MMX 100 Closed Headphones,Beyerdynamic,BEYDMMX100GY                                                    745561                                                    745553                                                    BD-MMX100-GR                                                    BD-745561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss CZ-164020 Closed Black Headphones,Koss,CZ-164020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
